p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season,target
716,2014,78,396,2213,16,36,25737,398,1971-12-17,156,96,Bangalore,Low,43,71,76,Defender,36,25.922100702024025,2,1,1,12,76,0
717,2008,48,184,2868,6,32,38143,384,1971-12-18,162,50,Mumbai,High,54,43,59,Goalkeeper,26,29.140019582858656,3,3,1,530,65,1
718,2014,41,142,2825,5,41,37730,343,1971-12-19,156,80,Hyderabad,Low,49,39,75,Forward,32,24.509176088353023,1,2,1,868,20,1
719,2014,91,165,1088,21,48,6901,448,1971-12-20,173,85,Hyderabad,High,88,39,65,Defender,35,24.10780531743893,2,3,1,567,79,0
720,2015,47,92,929,10,26,18632,220,1971-12-21,159,99,Bangalore,Low,97,85,51,Goalkeeper,19,24.553867737992718,1,4,0,247,1,1
721,2015,95,31,615,13,0,5763,58,1971-12-22,159,57,Bangalore,High,90,30,76,Goalkeeper,26,18.507104112394135,3,2,1,530,50,1
722,2017,74,132,2778,29,26,7824,19,1971-12-23,164,90,Bangalore,High,70,85,77,Forward,32,24.48461566075398,2,2,1,347,3,1
723,2009,21,252,998,24,45,26111,275,1971-12-24,185,68,Mumbai,Medium,33,94,89,Midfielder,23,22.55355518522329,1,4,0,559,70,1
724,2017,42,47,1858,25,45,13043,444,1971-12-25,189,52,Delhi,Medium,37,46,80,Defender,26,24.171489846215103,3,2,0,379,14,0
725,2018,1,368,587,31,17,4888,262,1971-12-26,176,81,Delhi,Low,41,44,96,Forward,39,28.215895169361104,1,1,1,395,93,0
726,2008,67,412,514,1,28,3954,411,1971-12-27,187,88,Mumbai,High,90,96,66,Goalkeeper,35,24.372513171502845,1,2,1,978,29,0
727,2002,75,491,1912,25,24,13480,24,1971-12-28,157,84,Chennai,Low,41,83,69,Midfielder,19,23.862251316504825,2,4,0,15,27,1
728,2015,0,69,751,12,1,11178,482,1971-12-29,159,75,Delhi,Low,43,64,67,Goalkeeper,22,22.13964497747932,1,2,0,531,86,0
729,2016,90,217,973,37,33,3958,239,1971-12-30,191,86,Chennai,Medium,51,34,50,Defender,38,22.953786639969188,3,1,1,231,31,0
730,2023,26,32,1769,23,19,8123,93,1971-12-31,160,66,Mumbai,Low,72,95,53,Midfielder,25,28.595709414177705,2,4,0,276,93,1
731,2005,64,176,2262,32,25,28212,269,1972-01-01,188,85,Hyderabad,Low,47,90,98,Midfielder,34,23.349552320993503,3,4,0,170,27,1
732,2020,69,344,2826,31,4,32785,483,1972-01-02,151,89,Delhi,Medium,46,40,88,Midfielder,33,28.599490143831545,2,3,1,479,54,1
733,2014,26,115,1184,27,39,10940,378,1972-01-03,198,86,Hyderabad,Medium,72,93,81,Midfielder,20,24.724729880531882,3,3,0,719,62,1
734,2011,16,107,1682,15,36,47397,200,1972-01-04,162,54,Delhi,Medium,51,52,76,Midfielder,32,27.24814156318441,2,1,1,662,38,0
735,2015,29,215,2773,26,32,30621,490,1972-01-05,176,62,Delhi,Medium,85,36,51,Defender,24,28.385235335112824,2,1,0,225,60,1
736,2007,54,136,2598,5,3,49016,485,1972-01-06,162,82,Chennai,High,95,64,92,Defender,28,29.472810307522863,1,2,0,833,86,0
737,2014,63,123,237,24,13,16881,215,1972-01-07,197,71,Bangalore,Medium,31,91,51,Midfielder,26,24.12073577106999,1,2,0,647,46,0
738,2002,82,215,1046,13,31,19099,261,1972-01-08,197,92,Mumbai,Medium,32,38,53,Forward,31,25.895188915312776,1,2,0,12,16,0
739,2005,20,435,944,33,39,1925,277,1972-01-09,155,61,Hyderabad,Low,57,55,86,Forward,38,25.300432999264533,2,4,1,351,80,1
740,2007,32,186,781,12,37,20971,291,1972-01-10,161,78,Chennai,Medium,34,32,59,Midfielder,33,29.499280581607977,3,4,0,876,13,0
741,2012,67,97,681,0,31,43901,153,1972-01-11,165,85,Mumbai,High,64,44,95,Goalkeeper,28,28.888114589010918,1,4,1,975,46,1
742,2021,39,275,1945,28,9,5007,398,1972-01-12,160,98,Bangalore,Medium,52,86,54,Forward,24,21.751445975952002,1,1,1,32,87,0
743,2004,28,404,2186,29,14,35366,450,1972-01-13,153,66,Chennai,Medium,81,58,98,Forward,18,29.984777444887953,3,3,0,184,42,0
744,2011,63,259,595,23,2,31035,206,1972-01-14,189,97,Bangalore,Medium,89,33,69,Goalkeeper,36,21.33383943900974,3,1,1,112,51,1
745,2020,32,36,667,17,40,25620,42,1972-01-15,170,96,Delhi,Low,44,83,50,Goalkeeper,27,19.196250644873803,1,1,0,665,70,0
746,2004,49,77,567,35,25,20177,296,1972-01-16,172,90,Mumbai,Low,46,87,64,Goalkeeper,25,28.2858153659811,1,1,1,719,3,0
747,2023,47,37,1471,8,36,32678,384,1972-01-17,194,96,Chennai,High,76,83,66,Goalkeeper,38,20.644140931457382,3,2,1,159,35,1
748,2002,1,110,1815,5,48,5040,327,1972-01-18,162,98,Mumbai,High,37,87,62,Goalkeeper,20,21.654900845576496,2,1,1,672,83,1
749,2019,45,403,284,33,11,43797,29,1972-01-19,186,92,Chennai,High,89,32,89,Midfielder,27,27.987936774921394,2,3,1,76,4,0
750,2005,87,400,2550,11,19,18262,229,1972-01-20,159,90,Delhi,Medium,65,33,86,Midfielder,31,18.943487840264744,3,4,1,399,80,0
751,2001,8,206,167,25,24,27726,47,1972-01-21,195,76,Hyderabad,Medium,89,54,83,Defender,34,22.831506539873416,2,4,1,489,57,0
752,2015,64,21,1840,26,28,27722,484,1972-01-22,166,55,Delhi,Medium,83,68,69,Defender,18,20.322283879301423,3,2,0,298,86,0
753,2005,13,146,2747,21,27,29001,119,1972-01-23,191,51,Hyderabad,Medium,64,45,98,Goalkeeper,33,22.95904916203186,3,3,1,443,65,1
754,2024,92,109,800,37,47,17574,125,1972-01-24,162,65,Delhi,Medium,71,32,52,Defender,28,23.23273702241604,1,4,1,4,49,1
755,2012,33,397,691,29,9,43755,153,1972-01-25,153,68,Hyderabad,Low,50,37,51,Midfielder,39,29.351003509572813,1,1,1,969,63,0
756,2007,7,145,841,34,45,20209,235,1972-01-26,163,96,Mumbai,High,72,97,81,Defender,20,29.778700214600626,3,2,1,269,26,1
757,2004,14,341,2530,7,26,44829,337,1972-01-27,178,99,Hyderabad,Low,77,68,97,Goalkeeper,32,20.059118043401067,2,1,1,918,64,0
758,2011,79,384,2443,19,1,47437,154,1972-01-28,190,91,Mumbai,Low,36,57,63,Midfielder,36,20.352353304592388,3,4,1,729,2,1
759,2004,98,289,520,3,45,11163,449,1972-01-29,190,69,Chennai,Medium,33,97,65,Goalkeeper,20,28.066639222991622,1,2,1,690,41,1
760,2008,60,204,2939,6,48,29907,199,1972-01-30,180,52,Mumbai,Low,30,97,61,Defender,24,27.781135603495684,2,4,0,462,89,1
761,2007,92,17,551,3,12,860,444,1972-01-31,175,83,Bangalore,Low,60,38,75,Forward,22,28.989806190636877,2,2,0,81,38,1
762,2002,99,158,2299,7,8,49610,274,1972-02-01,154,73,Delhi,Low,40,90,53,Goalkeeper,28,20.143632875803558,3,1,1,814,9,0
763,2004,63,391,1338,8,36,47240,223,1972-02-02,180,56,Delhi,Low,45,78,93,Goalkeeper,18,27.536480913460398,1,4,0,736,82,1
764,2018,4,268,1314,22,22,19382,101,1972-02-03,180,55,Mumbai,High,56,55,93,Defender,27,25.307317050559906,1,3,0,509,48,0
765,2003,34,159,1031,6,37,12683,30,1972-02-04,190,92,Mumbai,Low,72,40,74,Defender,26,25.207115393866168,3,1,1,339,30,0
766,2015,15,482,1207,29,28,49580,139,1972-02-05,176,65,Bangalore,Low,70,55,84,Defender,32,21.19865647834307,1,4,1,44,36,0
767,2016,31,493,2075,26,3,46738,367,1972-02-06,157,52,Delhi,Medium,37,45,52,Midfielder,20,19.09848369720378,2,1,0,373,99,1
768,2010,37,240,1123,2,28,32014,6,1972-02-07,154,56,Delhi,Medium,85,72,86,Defender,33,28.300421974241118,2,2,1,609,15,1
769,2023,44,325,2399,35,34,27338,59,1972-02-08,152,51,Delhi,Low,94,83,60,Goalkeeper,39,22.39033737969185,1,4,0,625,14,0
770,2020,36,334,1002,14,42,24452,176,1972-02-09,191,77,Delhi,High,45,44,84,Defender,33,24.52055709557275,2,2,1,115,8,0
771,2003,85,377,459,34,36,22057,272,1972-02-10,194,61,Delhi,Low,50,49,68,Defender,22,24.375893698135314,1,4,1,313,57,0
772,2003,15,17,2636,2,3,18917,242,1972-02-11,170,55,Mumbai,Low,85,79,98,Forward,24,22.87392098187963,1,1,0,617,84,1
773,2017,28,451,535,2,11,34274,281,1972-02-12,196,82,Chennai,Low,74,55,80,Forward,24,29.218119232832272,2,2,1,499,17,0
774,2021,51,212,644,32,12,31966,341,1972-02-13,189,81,Hyderabad,High,64,68,64,Defender,25,24.43685004321894,3,4,1,770,24,1
775,2017,47,235,1528,4,26,42562,499,1972-02-14,186,61,Bangalore,High,82,33,72,Defender,39,27.87075398240694,1,3,0,617,43,0
776,2023,61,288,2865,11,46,25384,88,1972-02-15,179,64,Mumbai,Low,31,98,65,Defender,30,29.633503508148202,2,2,1,466,24,0
777,2002,70,27,2802,27,16,39324,388,1972-02-16,170,86,Bangalore,Low,87,32,71,Midfielder,22,26.39044287889233,3,3,1,578,18,0
778,2009,51,231,1766,30,20,35126,339,1972-02-17,179,95,Delhi,Low,69,74,70,Defender,27,27.274073486982072,1,4,1,278,43,1
779,2021,0,137,2316,19,43,19793,406,1972-02-18,167,67,Mumbai,High,73,88,69,Defender,20,22.582500892218942,1,2,1,500,0,0
780,2010,96,317,358,29,34,49720,212,1972-02-19,176,93,Delhi,Medium,80,56,91,Forward,18,21.125199278229104,2,3,1,767,42,1
781,2003,50,25,715,34,4,43384,97,1972-02-20,196,95,Bangalore,Medium,90,50,77,Midfielder,22,21.807770592349307,2,4,0,51,88,0
782,2021,95,475,509,22,25,2614,484,1972-02-21,154,88,Chennai,Medium,36,37,59,Defender,36,21.826404635008952,3,1,1,146,60,0
783,2016,36,336,359,4,39,29080,233,1972-02-22,175,89,Delhi,Medium,41,36,54,Midfielder,18,19.476217003118357,1,2,1,301,94,1
784,2022,42,480,2390,32,22,36027,364,1972-02-23,183,61,Mumbai,Medium,31,89,95,Goalkeeper,20,21.07314765532216,3,2,0,908,72,1
785,2000,22,87,377,28,2,39620,353,1972-02-24,170,96,Bangalore,Low,39,40,74,Midfielder,27,24.611350667336097,2,2,1,742,78,0
786,2020,39,330,1251,20,43,976,323,1972-02-25,174,77,Delhi,Low,83,56,54,Midfielder,23,20.368030453259856,2,2,1,361,71,1
787,2009,16,425,1889,5,35,10525,446,1972-02-26,177,80,Delhi,Low,73,91,80,Midfielder,32,21.103330636815457,2,3,1,355,17,1
788,2019,72,456,1357,13,18,4856,191,1972-02-27,179,55,Chennai,High,35,37,83,Goalkeeper,30,29.415127953370195,2,2,1,640,85,1
789,2012,17,379,1375,2,32,3038,90,1972-02-28,163,74,Chennai,Medium,73,62,89,Goalkeeper,37,18.97195208691572,1,4,1,277,48,0
790,2019,23,399,1270,15,11,13408,210,1972-02-29,168,51,Delhi,High,68,88,87,Midfielder,39,28.059920187757704,2,4,1,276,1,1
791,2007,65,274,1195,15,7,44541,261,1972-03-01,185,71,Chennai,Medium,49,76,63,Midfielder,21,18.634924825552204,2,3,1,187,99,1
792,2019,1,88,723,35,24,4764,153,1972-03-02,153,71,Mumbai,Low,62,54,64,Midfielder,19,23.273536350923447,2,1,0,799,83,1
793,2018,78,80,2220,35,20,30896,67,1972-03-03,174,87,Bangalore,Low,79,89,62,Goalkeeper,27,27.464090366502287,1,2,1,760,97,0
794,2018,14,253,2393,27,31,23270,441,1972-03-04,177,79,Mumbai,Low,36,59,63,Forward,22,29.466931082906356,1,1,1,843,59,0
795,2018,4,466,2749,34,37,18082,443,1972-03-05,172,99,Hyderabad,Medium,46,81,93,Forward,39,24.941455088011,3,4,1,216,98,0
796,2014,87,391,1206,35,35,14320,9,1972-03-06,186,86,Hyderabad,Low,94,33,56,Forward,32,23.266231877892828,2,4,1,456,56,1
797,2019,67,464,2363,17,48,48728,232,1972-03-07,157,96,Mumbai,Medium,42,66,87,Defender,33,20.842578924590597,1,4,1,908,96,0
798,2005,58,118,349,15,40,10653,1,1972-03-08,176,82,Delhi,Low,75,66,60,Forward,25,22.243920064761703,1,2,0,220,6,0
799,2004,74,262,2710,27,48,28988,93,1972-03-09,185,89,Mumbai,Low,81,80,66,Goalkeeper,23,28.98422337953898,2,2,1,334,34,1
800,2007,49,480,77,37,2,39086,189,1972-03-10,151,83,Bangalore,Medium,48,48,98,Forward,23,20.510816053811908,2,4,1,717,30,0
801,2020,16,296,2470,34,1,23494,379,1972-03-11,171,64,Delhi,Low,62,73,59,Forward,25,27.842729234055845,1,4,0,118,29,1
802,2024,73,246,82,30,6,29846,487,1972-03-12,152,95,Mumbai,Medium,87,32,50,Forward,34,24.926807652259708,3,2,0,437,71,0
803,2013,84,140,1363,13,24,4186,60,1972-03-13,175,58,Hyderabad,High,98,49,97,Midfielder,21,26.70203559169941,3,2,0,293,77,0
804,2016,70,464,52,0,0,9178,242,1972-03-14,155,98,Mumbai,High,85,94,58,Defender,39,25.124575025363242,2,4,1,650,30,0
805,2021,62,242,2987,31,26,32784,395,1972-03-15,186,74,Hyderabad,High,61,37,85,Defender,31,26.49794217364431,2,4,1,851,49,1
806,2002,18,422,1612,26,12,11161,165,1972-03-16,167,77,Bangalore,Medium,62,71,88,Defender,30,20.967904598931312,2,1,1,918,16,1
807,2009,9,161,681,26,29,39845,365,1972-03-17,154,88,Delhi,High,47,56,73,Midfielder,30,27.606106620691875,1,2,1,420,85,1
808,2009,20,257,1820,20,31,30769,415,1972-03-18,197,57,Chennai,Medium,61,44,55,Goalkeeper,28,19.819405357622294,2,3,1,562,27,1
809,2002,28,196,113,0,45,28994,150,1972-03-19,193,60,Chennai,Low,98,32,57,Defender,20,22.759358534564978,1,1,0,552,9,1
810,2004,22,195,2676,23,48,41190,7,1972-03-20,157,54,Delhi,High,47,72,97,Midfielder,34,24.41608763811292,2,1,1,292,8,1
811,2000,56,152,1229,23,33,27290,282,1972-03-21,175,81,Delhi,Medium,34,62,88,Goalkeeper,38,24.7089380290636,3,2,1,736,29,1
812,2012,53,374,1853,19,33,22590,489,1972-03-22,180,56,Hyderabad,Low,85,70,89,Defender,35,26.98577151756264,2,2,0,680,63,0
813,2020,84,271,1727,2,26,46549,447,1972-03-23,192,97,Delhi,Low,83,57,71,Goalkeeper,24,23.282638341497336,2,2,0,715,96,0
814,2019,19,451,184,23,36,2297,10,1972-03-24,179,59,Hyderabad,Low,48,79,98,Goalkeeper,30,25.18192375640352,2,3,1,353,96,1
815,2016,53,333,2670,25,46,39736,417,1972-03-25,189,74,Chennai,Low,59,55,58,Forward,22,23.514319938818968,2,3,0,738,73,0
816,2021,75,483,1966,13,23,5321,158,1972-03-26,191,70,Hyderabad,Low,57,69,87,Goalkeeper,27,21.596041028868907,1,2,1,813,94,0
817,2015,39,334,1781,20,28,34336,169,1972-03-27,168,82,Chennai,Medium,43,46,88,Goalkeeper,27,20.229861649147278,2,2,0,308,55,1
818,2016,68,383,751,10,5,554,28,1972-03-28,155,83,Bangalore,Low,38,88,77,Defender,27,27.365091371677185,2,4,0,377,22,1
819,2016,40,160,2584,25,30,1806,475,1972-03-29,150,78,Delhi,High,54,36,79,Forward,20,26.06737774668368,1,3,0,962,9,0
820,2008,77,189,799,8,24,17430,431,1972-03-30,186,66,Delhi,Medium,84,42,82,Defender,27,18.800706717593094,2,4,1,897,52,0
821,2013,81,185,2176,8,24,6185,60,1972-03-31,153,76,Chennai,Medium,86,64,92,Forward,32,19.79810113466358,2,1,0,362,79,1
822,2015,48,207,840,27,19,5281,331,1972-04-01,175,52,Chennai,Medium,92,72,98,Midfielder,28,29.443565676998336,2,4,0,295,27,1
823,2001,69,137,1718,13,13,6940,419,1972-04-02,184,55,Bangalore,High,89,46,74,Defender,34,20.673891522873916,1,3,1,390,4,0
824,2008,17,102,2974,10,31,21595,38,1972-04-03,163,51,Chennai,Medium,75,73,67,Midfielder,31,29.433165918960373,3,4,1,713,35,0
825,2005,42,28,50,27,6,47719,415,1972-04-04,183,51,Mumbai,Medium,78,33,56,Defender,25,19.67041907635418,3,1,0,809,9,1
826,2019,65,177,630,17,7,42339,21,1972-04-05,187,85,Chennai,Low,93,53,85,Midfielder,22,27.525152479165364,2,2,1,553,79,1
827,2013,40,373,2565,36,15,8673,368,1972-04-06,154,69,Hyderabad,High,96,71,86,Midfielder,26,29.51033388025695,1,3,1,804,86,0
828,2003,98,431,206,9,2,30530,340,1972-04-07,181,50,Chennai,Medium,83,72,73,Defender,38,19.40347854178159,3,2,0,674,75,0
829,2008,0,336,125,11,43,16896,72,1972-04-08,173,96,Delhi,Medium,77,54,69,Goalkeeper,24,28.75175690818682,1,2,1,986,81,0
830,2011,72,483,1561,16,4,42932,341,1972-04-09,199,86,Mumbai,Low,33,54,58,Forward,33,21.096974930474286,1,1,0,438,22,0
831,2021,13,329,255,24,4,23982,107,1972-04-10,166,88,Mumbai,High,94,78,64,Forward,20,18.79725787683853,2,1,1,124,95,1
832,2004,17,204,1052,13,12,19841,296,1972-04-11,184,61,Delhi,Medium,35,92,79,Defender,30,25.135688340117508,1,1,1,886,40,0
833,2011,88,461,2469,0,31,169,342,1972-04-12,160,78,Mumbai,High,89,37,55,Forward,24,18.565052519528212,2,3,1,237,73,0
834,2016,96,28,911,13,2,35754,351,1972-04-13,151,81,Mumbai,High,56,75,69,Defender,19,27.888304221989273,2,3,1,395,75,1
835,2017,1,191,1684,21,2,27458,455,1972-04-14,174,86,Chennai,High,96,33,74,Defender,27,19.67176808125177,3,4,1,185,55,0
836,2021,63,175,328,17,24,13609,325,1972-04-15,167,70,Chennai,High,51,61,92,Forward,24,27.821022218216804,3,4,0,166,61,0
837,2013,16,426,458,36,4,46509,486,1972-04-16,168,79,Bangalore,Medium,39,72,61,Goalkeeper,27,26.905127584071494,3,4,0,91,44,1
838,2002,57,480,773,30,12,15323,191,1972-04-17,179,87,Delhi,Low,60,45,77,Goalkeeper,25,26.18880353997613,2,1,1,736,73,1
839,2023,83,175,2510,18,39,46576,127,1972-04-18,155,60,Mumbai,High,87,88,59,Forward,39,26.552313441887804,1,4,1,959,58,1
840,2019,23,481,2941,28,47,6371,438,1972-04-19,155,56,Bangalore,Low,31,61,68,Forward,24,28.316888118273596,2,2,0,285,94,0
841,2019,13,58,2469,24,27,28061,191,1972-04-20,184,92,Delhi,Low,48,35,50,Forward,23,19.186879229354695,1,4,1,272,41,1
842,2020,6,281,1041,33,43,8069,28,1972-04-21,159,86,Hyderabad,Low,89,73,74,Defender,26,21.89839095130597,2,2,0,799,78,0
843,2023,72,350,689,9,21,19015,2,1972-04-22,176,94,Hyderabad,Medium,66,57,70,Midfielder,33,26.123921935707898,3,3,1,840,58,0
844,2006,78,108,1351,9,15,49449,204,1972-04-23,191,59,Bangalore,Medium,93,52,94,Forward,31,21.894911462628944,1,4,1,753,29,1
845,2019,78,78,1182,29,13,44827,262,1972-04-24,155,97,Hyderabad,High,76,40,53,Midfielder,24,26.779725103378887,1,1,0,663,32,1
846,2022,70,431,1006,17,31,12888,53,1972-04-25,170,70,Chennai,Low,96,38,96,Defender,36,19.343267030659344,3,4,0,826,63,0
847,2004,59,66,835,30,11,34029,35,1972-04-26,193,87,Bangalore,Low,40,51,96,Midfielder,25,26.678507584599352,3,2,0,424,47,1
848,2009,24,209,350,4,44,8474,157,1972-04-27,173,66,Mumbai,Medium,31,92,51,Forward,33,18.585361396586833,3,3,0,489,18,0
849,2020,42,399,121,22,46,29796,18,1972-04-28,161,54,Chennai,High,34,56,64,Goalkeeper,26,28.358864512926107,2,2,0,951,54,0
850,2020,65,229,86,16,48,15683,131,1972-04-29,177,93,Hyderabad,High,86,38,96,Forward,20,19.42914686418735,1,1,1,862,69,1
851,2002,31,235,508,1,17,20542,28,1972-04-30,173,53,Bangalore,Low,40,82,58,Midfielder,18,19.549975015093008,3,4,0,157,32,0
852,2001,60,260,147,0,42,14581,398,1972-05-01,171,85,Mumbai,High,73,80,52,Forward,29,29.390825183555307,3,4,1,429,60,1
853,2024,32,303,1783,10,41,1242,16,1972-05-02,175,64,Bangalore,High,56,45,81,Forward,18,26.613891462304522,2,2,0,732,46,1
854,2005,98,13,2217,25,32,28282,136,1972-05-03,167,76,Hyderabad,Medium,62,73,65,Forward,36,21.46513900717668,1,4,0,66,52,1
855,2008,9,61,2315,30,32,32680,48,1972-05-04,193,81,Hyderabad,High,31,94,93,Forward,27,29.041335888669806,1,2,0,448,74,1
856,2004,87,280,960,27,19,44126,311,1972-05-05,153,52,Chennai,Low,80,66,67,Forward,38,23.839484602623195,3,3,0,816,22,0
857,2023,45,229,2249,1,31,2846,394,1972-05-06,169,60,Delhi,Medium,57,64,93,Defender,31,26.208899120708942,3,3,1,921,26,0
858,2002,1,432,2120,29,36,40989,151,1972-05-07,153,92,Delhi,Medium,35,47,51,Defender,39,26.781336191336074,2,4,1,933,68,1
859,2006,66,165,1510,7,27,44772,41,1972-05-08,178,99,Bangalore,High,59,49,88,Goalkeeper,34,29.409708555833028,3,4,0,383,42,0
860,2020,4,483,2756,25,43,1885,335,1972-05-09,188,86,Delhi,Low,65,54,51,Forward,24,24.983852590026025,3,4,1,539,31,0
861,2014,56,362,2621,13,30,32151,400,1972-05-10,174,70,Mumbai,High,98,74,84,Midfielder,25,18.895053391508053,1,3,1,391,10,0
862,2016,2,484,371,25,29,12928,84,1972-05-11,175,78,Chennai,High,48,88,61,Defender,20,27.971101777234473,3,2,1,864,41,1
863,2018,73,121,1391,23,32,36439,177,1972-05-12,190,87,Hyderabad,Medium,48,51,64,Goalkeeper,28,23.13504320171895,3,1,0,621,20,0
864,2024,42,352,255,34,29,250,9,1972-05-13,175,56,Bangalore,Medium,61,47,73,Defender,35,20.094089972741234,2,1,0,135,1,0
865,2013,70,95,723,37,19,26307,442,1972-05-14,156,58,Hyderabad,Medium,67,87,57,Goalkeeper,23,28.24211440375438,1,3,1,997,47,1
866,2024,1,366,925,20,13,45204,135,1972-05-15,184,72,Hyderabad,Medium,69,89,92,Forward,34,29.303921380743986,2,1,1,735,97,0
867,2012,82,375,1662,15,29,33099,393,1972-05-16,179,76,Mumbai,High,30,64,98,Goalkeeper,36,25.64148676906378,2,2,0,621,68,1
868,2001,54,391,1640,20,36,31186,445,1972-05-17,188,99,Mumbai,Medium,55,92,93,Forward,34,27.29646744730497,3,3,1,358,59,0
869,2020,53,368,1767,20,30,31557,34,1972-05-18,188,90,Chennai,Low,39,53,82,Forward,21,27.786534236415054,2,3,0,402,84,0
870,2008,56,470,1649,34,15,39247,39,1972-05-19,192,77,Delhi,Low,54,89,77,Goalkeeper,19,26.48511073412611,1,1,1,995,48,1
871,2001,50,248,1810,1,35,13485,199,1972-05-20,189,60,Hyderabad,High,85,36,61,Forward,21,26.880818868555124,2,3,1,554,44,0
872,2019,66,446,2048,15,12,22070,265,1972-05-21,168,78,Hyderabad,High,58,38,50,Midfielder,26,24.080350687851478,1,4,1,40,68,1
873,2023,47,336,2852,4,37,22459,121,1972-05-22,173,71,Hyderabad,Low,73,54,98,Forward,33,19.12821298369049,1,1,1,388,55,1
874,2021,89,430,1691,9,8,14523,128,1972-05-23,153,87,Bangalore,Medium,46,68,83,Defender,23,24.977691772215447,2,3,0,32,51,0
875,2021,70,95,2578,30,36,8456,180,1972-05-24,158,98,Hyderabad,Low,46,44,72,Midfielder,33,23.91821853783601,1,3,1,810,19,1
876,2012,46,250,106,27,27,25207,133,1972-05-25,152,72,Delhi,High,82,66,86,Forward,35,18.556145675475594,2,1,0,85,63,0
877,2017,0,315,1489,10,35,12539,277,1972-05-26,160,88,Delhi,High,36,47,79,Forward,18,19.098070116726365,3,2,1,600,16,1
878,2006,1,413,2931,23,23,42781,163,1972-05-27,178,91,Hyderabad,Low,93,95,96,Goalkeeper,29,21.28178330044563,1,2,0,370,6,0
879,2016,68,263,2199,29,10,39626,369,1972-05-28,161,71,Chennai,High,92,82,74,Midfielder,30,18.710181219263966,1,4,0,22,82,0
880,2024,76,428,968,21,45,42456,288,1972-05-29,157,99,Chennai,High,53,65,92,Midfielder,35,22.31646468033938,3,2,1,762,37,0
881,2003,73,293,1983,28,13,4309,144,1972-05-30,179,70,Mumbai,High,60,91,89,Forward,33,27.56770843868368,1,2,1,516,91,1
882,2017,47,100,2440,32,4,34065,157,1972-05-31,171,98,Delhi,High,31,59,68,Defender,34,24.580949614871326,3,1,0,238,59,1
883,2024,24,165,2918,1,21,6452,328,1972-06-01,160,91,Bangalore,Medium,66,93,81,Goalkeeper,31,26.256332076984478,1,2,0,152,51,0
884,2017,25,288,785,12,21,34691,243,1972-06-02,186,59,Delhi,Low,79,52,83,Goalkeeper,22,25.00615070042124,2,4,1,587,58,1
885,2015,67,310,912,24,13,32961,349,1972-06-03,174,91,Chennai,High,84,30,69,Defender,35,25.675249311647732,3,1,0,555,69,1
886,2012,94,435,2756,37,15,22368,461,1972-06-04,159,71,Delhi,Low,83,51,58,Midfielder,19,25.478651125962656,1,3,0,19,18,0
887,2011,82,280,2563,31,17,38392,341,1972-06-05,158,77,Bangalore,Medium,51,90,76,Forward,38,28.733302997135077,1,3,1,557,43,0
888,2004,45,289,921,34,26,11398,91,1972-06-06,190,90,Chennai,Medium,70,81,82,Defender,35,27.823895569834484,2,4,0,955,53,1
889,2019,21,170,989,15,21,46920,326,1972-06-07,158,60,Mumbai,Low,91,79,87,Defender,25,29.767522966142785,3,2,0,796,7,0
890,2004,63,145,252,10,49,35497,116,1972-06-08,191,89,Mumbai,Medium,35,63,77,Defender,36,27.914693205113906,1,4,0,456,36,1
891,2013,12,226,2912,8,36,1444,189,1972-06-09,165,90,Delhi,Low,71,78,84,Defender,20,23.34996486132359,2,3,1,830,8,0
892,2006,76,29,974,15,17,30622,80,1972-06-10,177,83,Delhi,Low,95,73,82,Goalkeeper,31,28.549922768836506,1,3,0,217,99,1
893,2000,73,93,1891,15,21,37655,414,1972-06-11,177,69,Hyderabad,High,68,33,88,Defender,19,28.879028602560176,1,2,0,165,48,0
894,2021,79,139,2142,18,2,1671,358,1972-06-12,160,80,Delhi,Medium,41,48,72,Midfielder,37,22.302406847250897,2,2,1,414,22,1
895,2013,95,1,2977,22,47,35154,346,1972-06-13,197,64,Hyderabad,High,92,74,68,Defender,29,28.330441131909804,1,4,1,61,58,0
896,2002,39,176,2169,11,6,17837,132,1972-06-14,154,95,Bangalore,Low,82,80,53,Midfielder,36,23.198625874338504,3,2,1,129,37,1
897,2006,58,473,2666,6,22,4334,146,1972-06-15,150,97,Chennai,High,86,57,66,Defender,38,23.98328167217126,3,3,1,15,40,0
898,2001,20,211,2271,13,37,25001,337,1972-06-16,173,77,Delhi,Medium,47,84,59,Forward,20,21.674766291883245,3,1,0,982,3,0
899,2022,40,450,1569,15,31,48564,335,1972-06-17,198,94,Chennai,Low,91,45,55,Defender,30,22.521454108936965,1,1,0,605,45,1
900,2020,80,172,1092,19,20,7170,275,1972-06-18,172,85,Bangalore,Low,39,38,68,Forward,36,21.028670570531457,1,3,1,49,77,0
901,2011,52,134,1493,10,21,39502,275,1972-06-19,184,78,Hyderabad,Medium,82,78,53,Forward,35,22.223327717635755,3,1,1,615,9,1
902,2023,10,21,2975,32,26,16054,60,1972-06-20,155,61,Hyderabad,High,55,93,64,Defender,18,22.106138648610745,1,1,0,735,81,0
